Ticker,Name,Type,Industry,12-1M_Mom_%,FIP_Annual,LastMonth,LastMonth_Mom_%,LastMonth_FIP,LastMonth_Neg,LastMonth_Pos,LastMonth_Flat,LastMonth_Total
YGGYO,YENI GIMAT GMYO,Stock,GYO,114.8957,-0.137325,2026-09,-4.4463,-0.044463,2,0,0,2
PEKGY,PEKER GMYO,Stock,GYO,110.9769,-0.278548,2026-09,-18.9206,-0.189206,2,0,0,2
ATATP,ATP YAZILIM,Stock,TEKNOLOJİ,109.5041,0.074166,2026-09,-1.8379,-0.018379,2,0,0,2
RALYH,RAL YATIRIM HOLDING,Stock,HOLDİNGLER,108.5577,-0.181650,2026-09,-4.7926,-0.047926,2,0,0,2
CATES,CATES ELEKTRIK,Stock,ELEKTRİK,107.2341,-0.046995,2026-09,-2.4982,-0.000000,1,1,0,2
GMTAS,GIMAT MAGAZACILIK,Stock,PERAKENDE,106.8698,-0.072382,2026-09,4.0751,-0.040751,0,2,0,2
ARASE,DOGU ARAS ENERJI,Stock,ELEKTRİK,104.9469,-0.016725,2026-09,0.0000,0.000000,1,1,0,2
GESAN,GIRISIM ELEKTRIK SANAYI,Stock,ELEKTRİK,103.2687,0.016457,2026-09,-18.9468,-0.189468,2,0,0,2
KLSYN,KOLEKSIYON MOBILYA,Stock,MOBİLYA,103.0049,-0.004104,2026-09,0.7648,0.000000,1,1,0,2
AKSEN,AKSA ENERJI,VIOP,ELEKTRİK,102.8495,-0.012293,2026-09,2.6448,0.000000,1,1,0,2
YEOTK,YEO TEKNOLOJI ENERJI,Stock,ELEKTRİK,102.6599,0.016360,2026-09,-4.6091,-0.046091,2,0,0,2
ATEKS,AKIN TEKSTIL,Stock,TEKSTİL,101.7575,0.133785,2026-09,-3.0612,-0.030612,2,0,0,2
KARTN,KARTONSAN,Stock,KAĞIT VE AMBALAJ,100.4054,0.084005,2026-09,-7.0652,-0.070652,2,0,0,2
RYGYO,REYSAS GMYO,Stock,GYO,97.7785,-0.074016,2026-09,-5.0787,-0.050787,2,0,0,2
TCKRC,KIRAC GALVANIZ,Stock,DEMİR ÇELİK,97.4002,-0.042685,2026-09,-3.1165,-0.031165,2,0,0,2
BURCE,BURCELIK,Stock,DEMİR ÇELİK,95.5021,0.060878,2026-09,-5.4983,-0.054983,2,0,0,2
VANGD,VANET GIDA,Stock,GIDA VE HAYVANCILIK,94.3472,0.018794,2026-09,-8.2108,-0.000000,1,1,0,2
MOGAN,MOGAN ENERJI,Stock,ELEKTRİK,94.2135,0.037535,2026-09,-18.7107,-0.187107,2,0,0,2
CWENE,CW ENERJI,Stock,ELEKTRİK,92.6409,-0.029527,2026-09,-11.0933,-0.110933,2,0,0,2
CELHA,CELIK HALAT,Stock,DEMİR ÇELİK,89.7761,0.042921,2026-09,0.7329,-0.007329,0,2,0,2
TRALT,TÜRK ALTIN İŞLETMELERİ,VIOP,MADENCİLİK,83.7643,-0.023361,2026-09,-4.9149,-0.000000,1,1,0,2
GLYHO,"GLOBAL YAT, HOLDING",Stock,HOLDİNGLER,83.0035,-0.023148,2026-09,-1.5106,-0.015106,2,0,0,2
UFUK,UFUK YATIRIM,Stock,HOLDİNGLER,82.9704,0.062806,2026-09,-7.3548,-0.073548,2,0,0,2
PKART,PLASTIKKART,Stock,TEKNOLOJİ,82.5476,0.069064,2026-09,4.2345,-0.042345,0,2,0,2
AYES,AYES CELIK HASIR VE CIT,Stock,İNŞAAT MALZEMELERİ,81.8471,0.048913,2026-09,0.2034,0.000000,1,1,0,2
TKFEN,TEKFEN HOLDING,VIOP,HOLDİNGLER,80.0513,0.009568,2026-09,0.0000,0.000000,1,1,0,2
TUPRS,TUPRAS,VIOP,PETROL,79.4518,-0.098128,2026-09,-1.9988,-0.000000,1,1,0,2
PCILT,PC ILETISIM MEDYA,Stock,MEDYA,78.8634,0.031420,2026-09,-2.0686,-0.020686,2,0,0,2
SANEL,SANEL MUHENDISLIK,Stock,İNŞAAT - ELEKTRİK,78.6290,0.053255,2026-09,-4.6753,-0.000000,1,1,0,2
AKSUE,AKSU ENERJI,Stock,ELEKTRİK,78.0418,0.043529,2026-09,-17.7065,-0.177065,2,0,0,2
KUVVA,KUVVA GIDA,Stock,GIDA VE HAYVANCILIK,76.3673,0.069978,2026-09,-0.7979,-0.000000,1,1,0,2
DOGUB,DOGUSAN,Stock,İNŞAAT MALZEMELERİ,75.4165,0.111172,2026-09,9.3954,0.000000,1,1,0,2
OZSUB,OZSU BALIK,Stock,GIDA VE HAYVANCILIK,74.1430,0.070894,2026-09,-3.2258,-0.000000,1,1,0,2
AYGAZ,AYGAZ,Stock,PETROL,67.3294,-0.069744,2026-09,-2.9851,-0.029851,2,0,0,2
FRIGO,FRIGO PAK GIDA,Stock,GIDA VE HAYVANCILIK,66.4893,-0.121853,2026-09,-6.0150,-0.030075,1,0,1,2
ASELS,ASELSAN,VIOP,SAVUNMA,64.9343,0.018109,2026-09,-1.4239,-0.014239,2,0,0,2
TRMET,TR ANADOLU METAL MADENCİLİK,VIOP,MADENCİLİK,64.0745,-0.048503,2026-09,-4.8376,-0.000000,1,1,0,2
ESCOM,ESCORT TEKNOLOJI,Stock,TEKNOLOJİ,63.7303,0.078711,2026-09,-5.1188,-0.051188,2,0,0,2
IZMDC,IZMIR DEMIR CELIK,Stock,DEMİR ÇELİK,62.9457,0.022570,2026-09,-18.4713,-0.184713,2,0,0,2
KRDMA,KARDEMIR (A),Stock,DEMİR ÇELİK,62.2453,-0.007440,2026-09,-10.8027,-0.108027,2,0,0,2
MOBTL,MOBILTEL ILETISIM,Stock,BİLGİSAYAR DONATIM,60.9236,0.009709,2026-09,-0.6961,-0.000000,1,1,0,2
VBTYZ,VBT YAZILIM,Stock,TEKNOLOJİ,58.5346,0.023321,2026-09,0.1590,0.000000,1,1,0,2
HATSN,HATSAN GEMI,Stock,DİĞER,55.7865,0.031116,2026-09,-18.9506,-0.189506,2,0,0,2
GSDDE,GSD DENIZCILIK,Stock,ULAŞTIRMA - LOJİSTİK,55.0475,0.002193,2026-09,-4.0119,-0.040119,2,0,0,2
KAPLM,KAPLAMIN,Stock,KAĞIT VE AMBALAJ,54.2200,0.056164,2026-09,-5.6970,-0.056970,2,0,0,2
GEREL,GERSAN ELEKTRIK,Stock,KABLO,52.4887,0.043915,2026-09,-3.7076,-0.037076,2,0,0,2
EBEBK,EBEBEK MAGAZACILIK,Stock,PERAKENDE,50.0071,-0.019923,2026-09,-3.8915,-0.038915,2,0,0,2
INFO,INFO YATIRIM,Stock,ARACI KURUMLAR,48.6356,0.031003,2026-09,-3.3898,-0.000000,1,1,0,2
EGPRO,EGE PROFIL,Stock,İNŞAAT MALZEMELERİ,48.1841,0.009598,2026-09,-2.7041,-0.027041,2,0,0,2
ECZYT,ECZACIBASI YATIRIM,Stock,HOLDİNGLER,47.5509,-0.041678,2026-09,-4.6912,-0.046912,2,0,0,2
ESCAR,ESCAR FILO,Stock,ULAŞTIRMA - LOJİSTİK,47.5429,0.003788,2026-09,4.1141,0.000000,1,1,0,2
MARKA,MARKA YATIRIM HOLDING,Stock,HOLDİNGLER,47.1541,0.039452,2026-09,0.0000,0.000000,0,0,1,1
INDES,INDEKS BILGISAYAR,Stock,BİLGİSAYAR DONATIM,46.4737,-0.040734,2026-09,-1.5164,-0.000000,1,1,0,2
HALKB,"T, HALK BANKASI",VIOP,BANKALAR,45.0791,0.032328,2026-09,6.5908,0.000000,1,1,0,2
BRKO,BIRKO MENSUCAT,Stock,TEKSTİL,44.5620,0.024855,2026-09,4.2735,0.000000,1,1,0,2
ORGE,ORGE ENERJI ELEKTRIK,Stock,İNŞAAT - ELEKTRİK,44.0958,0.003514,2026-09,-3.7469,-0.037469,2,0,0,2
BMSTL,BMS BIRLESIK METAL,Stock,DEMİR ÇELİK,43.7959,-0.029663,2026-09,0.7805,0.000000,1,1,0,2
TRENJ,TR DOĞAL ENERJİ KAYNAKLARI,Stock,PETROL,43.0417,-0.012004,2026-09,0.0935,0.000000,1,1,0,2
DEVA,DEVA HOLDING,Stock,SAĞLIK VE İLAÇ,41.9295,-0.003341,2026-09,1.4415,0.000000,1,1,0,2
ICUGS,ICU GIRISIM,Stock,GİRİŞİM SERMAYESİ,41.6939,0.036544,2026-09,-16.4211,-0.164211,2,0,0,2
RGYAS,"RONESANS GAYRIMENKUL YAT,",Stock,GYO,40.4913,-0.024198,2026-09,-4.9675,-0.000000,1,1,0,2
BIMAS,BIM MAGAZALAR,VIOP,PERAKENDE,39.3101,0.007831,2026-09,0.1850,0.000000,1,1,0,2
PAGYO,PANORA GMYO,Stock,GYO,39.0587,0.000000,2026-09,-2.8086,-0.028086,2,0,0,2
KBORU,KUZEY BORU,Stock,KİMYASAL ÜRÜNLER,38.8930,0.043387,2026-09,-13.2285,-0.132285,2,0,0,2
SOKM,SOK MARKETLER TICARET,VIOP,PERAKENDE,38.6751,-0.013868,2026-09,3.0686,-0.030686,0,2,0,2
TRGYO,TORUNLAR GMYO,Stock,GYO,38.1734,0.003042,2026-09,-2.6425,-0.026425,2,0,0,2
DAGI,DAGI GIYIM,Stock,TEKSTİL,37.6308,-0.034482,2026-09,-4.7985,-0.000000,1,1,0,2
LIDFA,LIDER FAKTORING,Stock,FİNANSAL KİRALAMA VE FAKTORİNG,36.5997,0.011665,2026-09,-2.9963,-0.029963,2,0,0,2
KRONT,KRON TEKNOLOJI,Stock,TEKNOLOJİ,36.2869,0.008674,2026-09,-9.8558,-0.098558,2,0,0,2
EGEPO,NASMED EGEPOL,Stock,SAĞLIK VE İLAÇ,35.9344,0.001432,2026-09,7.5047,-0.075047,0,2,0,2
ONCSM,ONCOSEM ONKOLOJIK SISTEMLER,Stock,SAĞLIK VE İLAÇ,35.6125,0.032633,2026-09,-11.4286,-0.114286,2,0,0,2
ISGYO,IS GMYO,Stock,GYO,35.2642,-0.001405,2026-09,-4.5627,-0.045627,2,0,0,2
AGESA,AGESA HAYAT EMEKLILIK,Stock,SİGORTA,35.0499,0.005586,2026-09,-0.4785,-0.000000,1,1,0,2
VERUS,VERUSA HOLDING,Stock,HOLDİNGLER,33.9840,-0.050096,2026-09,4.4776,-0.044776,0,2,0,2
AKCNS,AKCANSA,Stock,ÇİMENTO,33.5962,0.020077,2026-09,-0.3314,-0.000000,1,1,0,2
METRO,METRO HOLDING,Stock,HOLDİNGLER,33.0621,0.006586,2026-09,-5.3592,-0.053592,2,0,0,2
AYDEM,AYDEM ENERJI,Stock,ELEKTRİK,32.7431,-0.013045,2026-09,0.3040,0.000000,1,1,0,2
KRDMD,KARDEMIR (D),VIOP,DEMİR ÇELİK,32.5863,-0.020772,2026-09,-5.8675,-0.000000,1,1,0,2
ERSU,ERSU GIDA,Stock,İÇECEK,32.5336,0.022035,2026-09,-6.7194,-0.000000,1,1,0,2
MTRKS,MATRIKS FINANSAL TEKNOLOJILER,Stock,TEKNOLOJİ,32.4003,0.007745,2026-09,-4.0049,-0.040049,2,0,0,2
KTSKR,KUTAHYA SEKER FABRIKASI,Stock,GIDA VE HAYVANCILIK,32.0075,0.024229,2026-09,-1.8868,-0.018868,2,0,0,2
TEHOL,"TERA YATIRIM TEK, HOL,",Stock,HOLDİNGLER,32.0017,-0.108372,2026-09,9.9444,-0.099444,0,2,0,2
ENJSA,ENERJISA ENERJI,VIOP,ELEKTRİK,29.9000,-0.005956,2026-09,2.8156,-0.028156,0,2,0,2
BRLSM,BIRLESIM MUHENDISLIK,Stock,ELEKTRİK,29.5740,0.035347,2026-09,-18.7909,-0.187909,2,0,0,2
TURSG,TURKIYE SIGORTA,Stock,SİGORTA,28.7419,0.004580,2026-09,1.5075,0.000000,1,1,0,2
BRSAN,BORUSAN BORU SANAYI,VIOP,DEMİR ÇELİK,28.4218,0.035103,2026-09,-4.0746,-0.040746,2,0,0,2
INVES,INVESTCO HOLDING,Stock,HOLDİNGLER,27.6381,-0.047348,2026-09,1.2071,-0.012071,0,2,0,2
KORDS,KORDSA TEKNIK TEKSTIL,Stock,TEKSTİL,27.4274,0.018576,2026-09,-0.5357,-0.005357,2,0,0,2
ISDMR,ISKENDERUN DEMIR CELIK,Stock,DEMİR ÇELİK,26.2630,0.003139,2026-09,4.2214,-0.042214,0,2,0,2
MEGMT,MEGA METAL,Stock,DEMİR ÇELİK,25.6122,0.002041,2026-09,1.3104,0.000000,1,1,0,2
KUYAS,KUYAS YATIRIM,Stock,İNŞAAT - TAAHHÜT,25.6070,-0.009182,2026-09,5.4199,-0.054199,0,2,0,2
AKFYE,"AKFEN YEN, ENERJI",Stock,ELEKTRİK,25.5881,0.027525,2026-09,0.4413,0.000000,1,1,0,2
RYSAS,REYSAS LOJISTIK,Stock,ULAŞTIRMA - LOJİSTİK,25.5834,0.014270,2026-09,5.1389,-0.051389,0,2,0,2
FORTE,FORTE BILGI ILETISIM,Stock,TEKNOLOJİ,25.2312,0.016084,2026-09,-2.2787,-0.022787,2,0,0,2
ECILC,ECZACIBASI ILAC,Stock,SAĞLIK VE İLAÇ,25.0907,0.004998,2026-09,-6.7524,-0.067524,2,0,0,2
DURDO,DURAN DOGAN BASIM,Stock,KAĞIT VE AMBALAJ,25.0413,0.005986,2026-09,2.0000,0.000000,1,1,0,2
BSOKE,BATISOKE CIMENTO,Stock,ÇİMENTO,25.0249,0.009970,2026-09,-7.4525,-0.000000,1,1,0,2
BYDNR,BAYDONER RESTORANLARI,Stock,GIDA VE HAYVANCILIK,24.9215,0.027801,2026-09,-0.4688,-0.000000,1,1,0,2
BASGZ,BASKENT DOGALGAZ GMYO,Stock,ELEKTRİK,24.1294,0.024033,2026-09,-0.4056,-0.000000,1,1,0,2
ECOGR,Ecogreen Enerji Holding A.S.,Stock,ELEKTRİK,23.9595,-0.021955,2026-09,-3.8639,-0.038639,2,0,0,2
ISKPL,ISIK PLASTIK,Stock,KİMYASAL ÜRÜNLER,23.5624,0.001877,2026-09,-3.5409,-0.035409,2,0,0,2
EUYO,"EURO YAT, ORT,",Stock,YATIRIM ORTAKLIKLARI,22.4299,0.022340,2026-09,5.0526,0.000000,1,1,0,2
TATGD,TAT GIDA,Stock,GIDA VE HAYVANCILIK,21.9199,0.018339,2026-09,-2.0213,-0.020213,2,0,0,2
DUNYH,Dunya Holding Anonim Sirketi,Stock,,19.8836,0.011883,2026-09,24.2896,-0.121448,0,1,1,2
OZYSR,OZYASAR TEL,Stock,DEMİR ÇELİK,19.8593,0.017407,2026-09,5.3697,-0.053697,0,2,0,2
ICBCT,ICBC TURKEY BANK,Stock,BANKALAR,19.8345,0.010273,2026-09,0.0515,0.000000,1,1,0,2
LYDHO,LYDIA HOLDING,Stock,PAZARLAMA,19.3907,0.021631,2026-09,-3.7162,-0.037162,2,0,0,2
CCOLA,COCA COLA ICECEK,Stock,İÇECEK,19.0964,0.000000,2026-09,4.1888,-0.041888,0,2,0,2
AKMGY,AKMERKEZ GMYO,Stock,GYO,19.0758,0.018240,2026-09,-3.6053,-0.036053,2,0,0,2
ULUSE,ULUSOY ELEKTRIK,Stock,İNŞAAT - ELEKTRİK,18.9623,0.018131,2026-09,-4.6653,-0.046653,2,0,0,2
ANSGR,ANADOLU SIGORTA,Stock,SİGORTA,17.6151,0.016843,2026-09,-2.5735,-0.025735,2,0,0,2
AKSGY,AKIS GMYO,Stock,GYO,16.6198,0.002649,2026-09,-1.0989,-0.010989,2,0,0,2
EREGL,EREGLI DEMIR CELIK,VIOP,DEMİR ÇELİK,16.5138,0.005921,2026-09,-3.0428,-0.030428,2,0,0,2
TARKM,TARKIM BITKI KORUMA,Stock,TARIM KİMYASALLARI,16.4359,0.029467,2026-09,-5.9450,-0.059450,2,0,0,2
PSGYO,PASIFIK GMYO,Stock,GYO,15.4130,0.017808,2026-09,-3.4268,-0.034268,2,0,0,2
ALARK,ALARKO HOLDING,VIOP,HOLDİNGLER,14.7373,-0.001174,2026-09,1.9391,0.000000,1,1,0,2
ARTMS,ARTEMIS HALI,Stock,TEKSTİL,14.2769,0.011945,2026-09,1.6907,0.000000,1,1,0,2
OFSYM,OFIS YEM GIDA,Stock,GIDA VE HAYVANCILIK,14.2222,0.007366,2026-09,3.9523,-0.039523,0,2,0,2
TABGD,TAB GIDA,Stock,GIDA VE HAYVANCILIK,13.8913,0.001660,2026-09,-0.9754,-0.000000,1,1,0,2
HRKET,HAREKET PROJE TASIMACILIGI,Stock,DİĞER,13.2531,0.006864,2026-09,-1.0823,-0.000000,1,1,0,2
FADE,FADE GIDA,Stock,GIDA VE HAYVANCILIK,12.8804,0.000000,2026-09,-3.0644,-0.030644,2,0,0,2
LILAK,LILA KAGIT,Stock,KAĞIT VE AMBALAJ,12.6637,0.004036,2026-09,-2.4055,-0.024055,2,0,0,2
SONME,SONMEZ FILAMENT,Stock,GYO,12.5142,0.022436,2026-09,0.5878,0.000000,1,1,0,2
GUBRF,"GUBRE FABRIK,",VIOP,TARIM KİMYASALLARI,11.8712,-0.002365,2026-09,-1.2455,-0.000000,1,1,0,2
ANHYT,"ANADOLU HAYAT EMEK,",Stock,SİGORTA,11.7505,0.008895,2026-09,-0.2882,-0.000000,1,1,0,2
KMPUR,KIMTEKS POLIURETAN,Stock,KİMYASAL ÜRÜNLER,11.0565,0.013655,2026-09,-0.2707,-0.000000,1,1,0,2
SAYAS,SAY YENILENEBILIR ENERJI,Stock,ELEKTRİK,10.4370,0.007901,2026-09,-4.5769,-0.045769,2,0,0,2
ARSAN,ARSAN TEKSTIL,Stock,TEKSTİL,10.3198,0.012746,2026-09,-9.7727,-0.097727,2,0,0,2
